"id","facility_name","city","state","type","period_start","period_end","monitor_name","monitor_lat","monitor_long","concentration","unit","flags","explanation","contaminant","sampler_type"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-17T00:00:00+00:00","2019-12-31T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-31T00:00:00+00:00","2020-01-14T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2019-12-31T00:00:00+00:00","2020-01-14T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-01-28T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-01-28T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-02-11T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.4,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-01-14T00:00:00+00:00","2020-02-11T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.3,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-02-11T00:00:00+00:00","2020-02-25T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-02-11T00:00:00+00:00","2020-02-25T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.8,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-02-25T00:00:00+00:00","2020-03-10T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-02-25T00:00:00+00:00","2020-03-10T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-03-10T00:00:00+00:00","2020-03-24T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-03-10T00:00:00+00:00","2020-03-24T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.1,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-03-24T00:00:00+00:00","2020-04-07T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.8,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-03-24T00:00:00+00:00","2020-04-07T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-04-07T00:00:00+00:00","2020-04-21T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.6,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-04-07T00:00:00+00:00","2020-04-21T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.5,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-04-21T00:00:00+00:00","2020-05-05T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-04-21T00:00:00+00:00","2020-05-05T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.9,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-05-05T00:00:00+00:00","2020-05-19T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.7,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-05-05T00:00:00+00:00","2020-05-19T00:00:00+00:00","BMRF-01",30.07664,-94.07121,3,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-05-19T00:00:00+00:00","2020-06-02T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.1,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-05-19T00:00:00+00:00","2020-06-02T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.2,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-06-02T00:00:00+00:00","2020-06-16T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.3,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-06-02T00:00:00+00:00","2020-06-16T00:00:00+00:00","BMRF-01",30.07664,-94.07121,1.4,"ug/m3",NA,NA,"benzene","Regular Monitor"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-06-16T00:00:00+00:00","2020-06-30T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.9,"ug/m3",NA,NA,"benzene","Duplicate"
29,"Beaumont Refinery","Beaumont","TX","Refinery","2020-06-16T00:00:00+00:00","2020-06-30T00:00:00+00:00","BMRF-01",30.07664,-94.07121,2.7,"ug/m3",NA,NA,"benzene","Regular Monitor"
