geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Hutchinson,48233,2019,leukemia,~,35.837047,-101.3627461,~
Irion,48235,2019,leukemia,~,31.3034241,-100.9813037,0
Jack,48237,2019,leukemia,~,33.2323023,-98.1711043,~
Jackson,48239,2019,leukemia,~,28.9598019,-96.58908,~
Jasper,48241,2019,leukemia,~,30.7529323,-94.0222943,~
Jeff Davis,48243,2019,leukemia,~,30.6253574,-104.191873,~
Jefferson,48245,2019,leukemia,18.3,29.8540273,-94.1493184,51
Jim Hogg,48247,2019,leukemia,~,27.0532315,-98.7475716,~
Jim Wells,48249,2019,leukemia,~,27.7335157,-98.0908141,~
Johnson,48251,2019,leukemia,14.2,32.379654,-97.3649061,26
Jones,48253,2019,leukemia,~,32.7437089,-99.8744297,~
Karnes,48255,2019,leukemia,~,28.9089957,-97.8522048,~
Kaufman,48257,2019,leukemia,23.9,32.5989442,-96.2883773,32
Kendall,48259,2019,leukemia,~,29.9435246,-98.7092693,~
Kerr,48265,2019,leukemia,~,30.0535627,-99.3746817,~
Kimble,48267,2019,leukemia,~,30.479472,-99.7463959,~
Kinney,48271,2019,leukemia,~,29.3470865,-100.4177003,~
Kleberg,48273,2019,leukemia,~,27.4387348,-97.6606203,~
Knox,48275,2019,leukemia,~,33.6118897,-99.7303563,0
La Salle,48283,2019,leukemia,~,28.3510976,-99.0967743,~
Lamar,48277,2019,leukemia,~,33.6672628,-95.5703477,~
Lamb,48279,2019,leukemia,~,34.0688615,-102.3480182,~
Lampasas,48281,2019,leukemia,~,31.1967308,-98.2408885,~
Lavaca,48285,2019,leukemia,~,29.3825778,-96.9236334,~
Lee,48287,2019,leukemia,~,30.3214983,-96.9768226,~
Leon,48289,2019,leukemia,~,31.3004926,-95.9956219,~
Liberty,48291,2019,leukemia,~,30.1585081,-94.8440607,~
Limestone,48293,2019,leukemia,~,31.5475427,-96.593623,~
Lipscomb,48295,2019,leukemia,~,36.2801998,-100.2726827,0
Live Oak,48297,2019,leukemia,~,28.3514791,-98.1268908,0
Llano,48299,2019,leukemia,~,30.7075845,-98.6846901,~
Lubbock,48303,2019,leukemia,14.8,33.6114688,-101.8199438,42
Lynn,48305,2019,leukemia,~,33.1784124,-101.8184933,0
Madison,48313,2019,leukemia,~,30.9668782,-95.9303719,~
Marion,48315,2019,leukemia,~,32.7981821,-94.3568533,~
Martin,48317,2019,leukemia,~,32.3098298,-101.9618363,~
Mason,48319,2019,leukemia,~,30.7039156,-99.237302,~
