date,wind_speed,wind_direction_degrees
1/18/2020,5.57,179.4
1/19/2020,7.84,23.1
1/20/2020,5.61,21.9
1/21/2020,5.14,83
1/22/2020,7.37,112.6
1/23/2020,6.31,286.6
1/24/2020,3.66,324.6
1/25/2020,5.19,117.6
1/26/2020,3.86,61.9
1/27/2020,3.3,92
1/28/2020,6.11,126.6
1/29/2020,6.18,325
1/30/2020,3.66,35.3
1/31/2020,3.75,353.2
2/1/2020,4.58,283.5
2/2/2020,6.14,225.5
2/3/2020,7.75,176.2
2/4/2020,7.19,180.3
2/5/2020,5.04,298.3
2/6/2020,7.27,303.5
2/7/2020,5.6,214.6
2/8/2020,4.87,111.3
2/9/2020,7.73,140
2/10/2020,6.2,174.9
2/11/2020,4.08,50
2/12/2020,6.06,238.3
2/13/2020,6.13,2.2
2/14/2020,5.18,48.5
2/15/2020,5.08,104.1
2/16/2020,3.01,153.2
2/17/2020,6.18,164.5
2/18/2020,4.45,167.2
2/19/2020,4.77,41.1
2/20/2020,7.58,12.2
2/21/2020,6.3,26.4
2/22/2020,3.44,114.9
2/23/2020,5.91,143.8
2/24/2020,5.55,225.4
2/25/2020,4.08,338.9
2/26/2020,8.57,329.5
2/27/2020,3.63,315.3
2/28/2020,4.33,270.6
2/29/2020,4.81,182.3
3/1/2020,8.46,170.1
3/2/2020,6.05,178.2
3/3/2020,4.1,145.7
3/4/2020,4.04,135
3/5/2020,7.11,349.8
3/6/2020,6.22,24.3
3/7/2020,5.59,97.7
3/8/2020,6.71,128.2
3/9/2020,6.74,159.6
3/10/2020,3.26,183.7
3/11/2020,5.49,200
3/12/2020,6.45,187.6
3/13/2020,5.61,157
3/14/2020,5.86,151
3/15/2020,3.31,122.1
3/16/2020,3.95,121.4
3/17/2020,4.94,138.7
3/18/2020,6.55,156.8
3/19/2020,7.52,164.9
3/20/2020,4.83,112.4
3/21/2020,5.69,49
3/22/2020,5.59,149.7
3/23/2020,6.56,183.2
3/24/2020,7.45,201.5
3/25/2020,4.49,208.9
3/26/2020,6.48,176.7
3/27/2020,7.47,171.2
3/28/2020,5.9,190.1
3/29/2020,5.69,63.1
3/30/2020,6.77,140.2
3/31/2020,6.64,335.4
4/1/2020,5.52,113.8
4/2/2020,6.44,135.7
4/3/2020,5.44,123.6
4/4/2020,3.06,75.9
4/5/2020,4.41,77.1
4/6/2020,4.98,122.2
4/7/2020,5.09,188.3
4/8/2020,5.08,214.3
4/9/2020,3.35,233.4
4/10/2020,5.97,58.6
4/11/2020,6.35,119.5
4/12/2020,9.54,223
4/13/2020,5.53,356.7
4/14/2020,6.26,21.3
4/15/2020,5.67,35.5
4/16/2020,5.94,110.9
4/17/2020,4.71,146.8
4/18/2020,4.87,61.1
4/19/2020,5.85,202.2
4/20/2020,3.61,95.5
4/21/2020,4.41,131.2
4/22/2020,8.2,157.2
4/23/2020,6.24,317.3
4/24/2020,5.3,157.6
4/25/2020,5.92,352.2
4/26/2020,4.74,53.9
4/27/2020,7.17,146.1
4/28/2020,6.79,161.3
4/29/2020,6.81,311.2
4/30/2020,3.02,346.5
5/1/2020,5.38,176.3
5/2/2020,6.67,175.8
5/3/2020,6.13,183
5/4/2020,6.31,187.5
5/5/2020,4.25,213.6
5/6/2020,5.23,58.1
5/7/2020,6.32,140
5/8/2020,8.02,209.4
5/9/2020,6.35,60.8
5/10/2020,4.08,53.1
5/11/2020,5.4,112
5/12/2020,6.42,149.7
5/13/2020,6.07,146
5/14/2020,6.03,149.9
5/15/2020,5.08,137.5
5/16/2020,7.07,186.2
5/17/2020,5.96,291.6
5/18/2020,4.15,273.9
5/19/2020,5.88,221
