date,monitor_id,latitude,longitude,rolling_12mo_avg
9/25/2018,BMT-25,30.06612,-94.07808,1.1
9/25/2018,BMT-26,30.06983,-94.07565,2
9/25/2018,BMT-27,30.07475,-94.07576,1.2
10/9/2018,BMT-01,30.07664,-94.07121,3.2
10/9/2018,BMT-01,30.07664,-94.07121,2.9
10/9/2018,BMT-02,30.07667,-94.06785,2.2
10/9/2018,BMT-03,30.07583,-94.06433,7
10/9/2018,BMT-05,30.07319,-94.05821,1.5
10/9/2018,BMT-06,30.07097,-94.05761,1.3
10/9/2018,BMT-07,30.06816,-94.058,1.6
10/9/2018,BMT-08,30.06701,-94.05709,1.6
10/9/2018,BMT-09,30.06896,-94.05434,1.3
10/9/2018,BMT-10,30.06711,-94.05172,1.3
10/9/2018,BMT-11,30.06474,-94.0527,1.1
10/9/2018,BMT-12,30.06382,-94.05473,1
10/9/2018,BMT-13,30.06308,-94.05812,1.1
10/9/2018,BMT-14,30.0609,-94.06012,1.1
10/9/2018,BMT-15,30.05644,-94.06226,1
10/9/2018,BMT-16,30.0564,-94.06921,1
10/9/2018,BMT-16,30.0564,-94.06921,1.1
10/9/2018,BMT-17,30.05087,-94.06865,0.8
10/9/2018,BMT-18,30.0468,-94.07106,0.9
10/9/2018,BMT-19,30.04831,-94.07391,1.3
10/9/2018,BMT-20,30.05013,-94.07581,1.2
10/9/2018,BMT-21,30.05423,-94.0797,1
10/9/2018,BMT-22,30.05793,-94.07944,1.2
10/9/2018,BMT-23,30.0594,-94.0786,1.1
10/9/2018,BMT-24,30.06203,-94.0795,1.2
10/9/2018,BMT-25,30.06612,-94.07808,1.3
