geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count,exposure_lag_years,exposure_mean,exposure_rolling12,exposure_max,exposure_exceedances,exposure_wind_weighted,exposure_distance_weighted
Wise,48497,2020,leukemia,30.0,33.2193461,-97.6529857,24.0,5,1.808721387026874,1.6271583788565138,3.1,0.0,1.741274989459792,1.808721387026874
Angelina,48005,2021,leukemia,21.1,31.2518963,-94.6111337,21.0,5,1.8139631307619803,1.6321239866658863,210.0,0.0,1.7463129788791956,1.8139631307619803
Bastrop,48021,2021,leukemia,14.9,30.1007718,-97.3106392,17.0,5,1.8070059739181343,1.6256328126222264,2.0,0.0,1.7395738708356758,1.8070059739181343
Bell,48027,2021,leukemia,13.7,31.0370095,-97.4796349,49.0,5,1.8079812036447587,1.6265258180718778,3.1,0.0,1.7405272846097612,1.8079812036447587
Bexar,48029,2021,leukemia,13.6,29.4486708,-98.5201465,267.0,5,1.8066955486546272,1.6253000579268695,1.6,0.0,1.739296181750915,1.8066955486546272
Bowie,48037,2021,leukemia,16.5,33.4460648,-94.422393,18.0,5,1.8100764741918245,1.6283747407630318,210.0,0.0,1.7426129850057865,1.8100764741918245
Brazoria,48039,2021,leukemia,20.0,29.1678175,-95.434647,72.0,5,1.8028997098433697,1.6218594300297504,1.6,0.0,1.735567227624579,1.8028997098433697
Brazos,48041,2021,leukemia,12.6,30.6567132,-96.3023935,23.0,5,1.8082101916222244,1.6268085386372255,3.1,0.0,1.740712508966511,1.8082101916222244
Burnet,48053,2021,leukemia,20.1,30.7896305,-98.2011868,19.0,5,1.8075811355531644,1.6261359873173613,2.0,0.0,1.740148635327882,1.8075811355531644
Cameron,48061,2021,leukemia,15.0,26.1029227,-97.4789584,65.0,5,1.8056730516251076,1.6242898114016768,2.6,0.0,1.7383361282782688,1.8056730516251076
Collin,48085,2021,leukemia,16.2,33.1944818,-96.5794285,163.0,5,1.8092386490769032,1.6276391695109433,3.1,0.0,1.7417769307054198,1.8092386490769032
Comal,48091,2021,leukemia,12.8,29.8123773,-98.2581288,31.0,5,1.8068737200942744,1.6254756461550504,1.6,0.0,1.7394637393952241,1.8068737200942744
Dallas,48113,2021,leukemia,16.0,32.7669866,-96.7784238,392.0,5,1.8091655373118312,1.6275845062264376,3.1,0.0,1.7416989103097504,1.8091655373118312
Denton,48123,2021,leukemia,16.3,29.0823457,-97.3616543,140.0,5,1.8059878496903425,1.624661735952999,1.6,0.0,1.7385991969364663,1.8059878496903425
Ector,48135,2021,leukemia,11.2,31.8653008,-102.5425068,17.0,5,1.8075219587265525,1.626023539832779,3.1,0.0,1.7401218193328254,1.8075219587265525
El Paso,48141,2021,leukemia,12.3,31.7664559,-106.2415203,104.0,5,1.8074026360853583,1.6258970928671415,2.0,0.0,1.7400143465586213,1.8074026360853583
